studentId,courseId,count,openIds
4044d4f310a911ec8871b07b25146e9e,XH000442,3,"oR17p5byX6fQX6gmt6GBTMvmJ5J8,oR17p5XKXPt9O0bddMLpDCiHIyT0,oR17p5W7a2IF9My8vNuqeJfwJnnI"
56094bef10ab11ec8871b07b25146e9e,DA100004408,3,"oR17p5Ulm1e-M-9rA7JJm0u1ZL8Q,oR17p5flDE653yevwXUCGfso7NW8,oR17p5Y1kf_aNSFfjJAOAFDmUsPI"
c78dc72a10aa11ec8871b07b25146e9e,ZK000658,3,"oR17p5W7a2IF9My8vNuqeJfwJnnI,oR17p5ZdMl5eZQN6ExoRQuB1F3U0,oR17p5byX6fQX6gmt6GBTMvmJ5J8"
3cb78afb10ab11ec8871b07b25146e9e,DA100004064,3,"oR17p5ShNxc3GBUvCXgcEcSjis8c,oR17p5SCFo1ayElX-UYeJvqUh7ms,oR17p5fh3-y4NorvFroaJ8hKHtqQ"
85e0dbe210a811ec8871b07b25146e9e,DA100004426,3,"oR17p5XKXPt9O0bddMLpDCiHIyT0,oR17p5W7a2IF9My8vNuqeJfwJnnI,oR17p5byX6fQX6gmt6GBTMvmJ5J8"
c3c25d2b10c511ec8216b07b25146e9e,ZH20246281,3,"oR17p5W6ibHXQAnwP5AjrLdsl4wA,oR17p5XGl5wIPWPKWSGgzVqg4yS4,oR17p5QdTEvESNVF5MS61zACgaVE"
5408380810a811ec8871b07b25146e9e,ZH20247270,3,"oR17p5VIurDWUth4uY8TSNN_iEEE,oR17p5R0-RBAk0Bvpo8ch6LpuniQ,oR17p5c7PQKHDQHkeCnrbP8jr32Q"
3f583f20736e11ecb369fa164011f743,ZH20245187,3,"oR17p5W6ibHXQAnwP5AjrLdsl4wA,oR17p5XGl5wIPWPKWSGgzVqg4yS4,oR17p5QdTEvESNVF5MS61zACgaVE"
cfe061cf138311eca228fa164011f743,DA100004444,3,"oR17p5Ulm1e-M-9rA7JJm0u1ZL8Q,oR17p5Y1kf_aNSFfjJAOAFDmUsPI,oR17p5flDE653yevwXUCGfso7NW8"
80c4567c10ac11ec8871b07b25146e9e,DA100004482,3,"oR17p5XNdmwdDmI5djZ3MS7v5_kA,oR17p5ZFflh0NiXYNJO2b10r5ppc,oR17p5Vd4eG-HUoRuZlhmlNu8deo"
c303066710a811ec8871b07b25146e9e,ZH20247279,3,"oR17p5e_3BrEGB1tc6ntcbqH18FM,oR17p5dH3CZkEFwojW349qtVkN6M,oR17p5cLud79eeZYhJi-WZZ9rzpo"
6f88968110c911ec8216b07b25146e9e,DA100004482,3,"oR17p5cUgiRO5HPkzTbj6IoHngMg,oR17p5cVRLaEUJo05wUaReGhJXag,oR17p5TAv_Wm9t8DpDvzLTCE35qE"
fd5fc17e10a911ec8871b07b25146e9e,DA100004064,3,"oR17p5byX6fQX6gmt6GBTMvmJ5J8,oR17p5W7a2IF9My8vNuqeJfwJnnI,oR17p5XKXPt9O0bddMLpDCiHIyT0"
4cacabcd10ab11ec8871b07b25146e9e,DA100004426,3,"oR17p5byX6fQX6gmt6GBTMvmJ5J8,oR17p5W7a2IF9My8vNuqeJfwJnnI,oR17p5XKXPt9O0bddMLpDCiHIyT0"
c3c25d2b10c511ec8216b07b25146e9e,ZH20245187,3,"oR17p5W6ibHXQAnwP5AjrLdsl4wA,oR17p5XGl5wIPWPKWSGgzVqg4yS4,oR17p5QdTEvESNVF5MS61zACgaVE"
fec2516b10a911ec8871b07b25146e9e,DA100004426,3,"oR17p5byX6fQX6gmt6GBTMvmJ5J8,oR17p5W7a2IF9My8vNuqeJfwJnnI,oR17p5XKXPt9O0bddMLpDCiHIyT0"
957387c010c011ec8216b07b25146e9e,ZH20245187,3,"oR17p5QdTEvESNVF5MS61zACgaVE,oR17p5XGl5wIPWPKWSGgzVqg4yS4,oR17p5W6ibHXQAnwP5AjrLdsl4wA"
8b592ef010ab11ec8871b07b25146e9e,DA100004224,3,"oR17p5ejPMr9YGVeE6-7w-KenFjY,oR17p5RJ5NDl-hv86IAC_6JytJ1U,oR17p5SRPFBsCg1NUylFhTTi0cWc"
85e2afa510a811ec8871b07b25146e9e,DA100004482,3,"oR17p5byX6fQX6gmt6GBTMvmJ5J8,oR17p5W7a2IF9My8vNuqeJfwJnnI,oR17p5XKXPt9O0bddMLpDCiHIyT0"
538c8cc610a811ec8871b07b25146e9e,ZH20246704,3,"oR17p5SGXc8WkccuPlZfs3IvRjWE,oR17p5XwglNrs_YKsOYCyVepLYeE,oR17p5UE0VSfr1Z1KpkIqUeHp6xk"
403ca52f10a911ec8871b07b25146e9e,XH000442,3,"oR17p5byX6fQX6gmt6GBTMvmJ5J8,oR17p5XKXPt9O0bddMLpDCiHIyT0,oR17p5W7a2IF9My8vNuqeJfwJnnI"
4efaae1910a911ec8871b07b25146e9e,DA100004482,3,"oR17p5Y4-Q7sZsV2KsAuMDc_lE0E,oR17p5aY6HI5gxnxOpqOGEYuoCE8,oR17p5biQ09cTeq7h-CXKs1O9HQk"
d04d68a410aa11ec8871b07b25146e9e,ZH20243947,3,"oR17p5UE0VSfr1Z1KpkIqUeHp6xk,oR17p5SjRSx1GYVhn_-BRbkgbqs4,oR17p5SGXc8WkccuPlZfs3IvRjWE"
920843e310ca11ec8216b07b25146e9e,ZH20247270,3,"oR17p5XGl5wIPWPKWSGgzVqg4yS4,oR17p5QdTEvESNVF5MS61zACgaVE,oR17p5W6ibHXQAnwP5AjrLdsl4wA"
8ec53a7110ab11ec8871b07b25146e9e,DA100003016,3,"oR17p5QGU8zfpE9O3azwTFNXcfSU,oR17p5cb91qzcI303dCq35cTGpSk,oR17p5d_zrjiOF5XQ8oGal35Z4Nc"
4b61556710ac11ec8871b07b25146e9e,DA100004482,3,"oR17p5dPIIhBbtDevJzNkGqII5xk,oR17p5ZIEDONbDIoxxtNCqG7Rn6w,oR17p5QsJLnGrMHTjg7r2ZoHvCfY"
ec7776966f8211ecb369fa164011f743,ZH20247270,3,"oR17p5VJKmk-r4Gr_ewDUg6RAhW8,oR17p5RHHQ1XLED0K5KoOVHOETk0,oR17p5bAA_Mvw3aW5HOOtbt7IBi8"
2754433310a911ec8871b07b25146e9e,ZH20247278,3,"oR17p5bpSDdpKmx-FiPIgHpxm8HQ,oR17p5aI-aC6CtiZdIa9jliLRD1k,oR17p5cMlN0Zc5M45CiSvqj3BhFw"
8717117910aa11ec8871b07b25146e9e,DA100004482,3,"oR17p5VGpet6uGV2TxRIQlO5HPRE,oR17p5akuEF8NGxzP8kL2aA48UA0,oR17p5VreYx_ijbg6DuwYXjXA-tA"
516cc80310a911ec8871b07b25146e9e,DA100004466,3,"oR17p5S0nRiFAHMB8jKiIE9fIJJ8,oR17p5TxsShZPdMQnnRm2TCczeFc,oR17p5WncxOGTMvZQGWjaLbQCw-Y"
4e3d34f810a811ec8871b07b25146e9e,ZY001807,3,"oR17p5WpdsWVfo_MlQb7yamTk7jo,oR17p5QOe5MnVamaADtoLgC5hEiA,oR17p5TMT8fRAmf43ludnmesuOXA"
