trainingPersonId,totalDuration
449fcfef10a811ec8871b07b25146e9e,132683876
fbb3968e10a711ec8871b07b25146e9e,341923562
1cd083d510a811ec8871b07b25146e9e,102967416
66c5169e10a911ec8871b07b25146e9e,3063740
69f2172310aa11ec8871b07b25146e9e,7998082
42f5271710a911ec8871b07b25146e9e,65627777
d36ef93510a711ec8871b07b25146e9e,2190572
23ae9f9610ab11ec8871b07b25146e9e,25210416
d161bf0910a711ec8871b07b25146e9e,52514690
4c6832dc486211ecb369fa164011f743,10662378
5b17718910a811ec8871b07b25146e9e,73612377
17cb2a5910a911ec8871b07b25146e9e,29983465
f45e82e910aa11ec8871b07b25146e9e,36442606
0fa89c2510ac11ec8871b07b25146e9e,26715185
23bcc98a10ab11ec8871b07b25146e9e,55142799
ef928a3810a711ec8871b07b25146e9e,505751
e0bb6340fdff11eca3e4fa164011f743,1788922
de65540c828d11edb6a3fa164011f743,360971
8b50c932707911ecb369fa164011f743,47015981
8d73fb5310ac11ec8871b07b25146e9e,206740309
abbe721010ab11ec8871b07b25146e9e,3449968
be8a7e1410a811ec8871b07b25146e9e,2397041
ffa77c5010c111ec8216b07b25146e9e,37430598
2bffcd6a540f11ed8135fa164011f743,3359499
163d124b10c411ec8216b07b25146e9e,122380907
1264de4410ca11ec8216b07b25146e9e,1021693
2edc093710a811ec8871b07b25146e9e,7420092
5c31fe2d10aa11ec8871b07b25146e9e,1957682
79b0f7ec10c811ec8216b07b25146e9e,35021382
ff3cc6eb10a811ec8871b07b25146e9e,22710589
7c7bd49f10a811ec8871b07b25146e9e,51646234
7238dfb710ab11ec8871b07b25146e9e,13101642
b8fd620e10a911ec8871b07b25146e9e,97326322
d2f0a51410a911ec8871b07b25146e9e,13580263
b8de142910a811ec8871b07b25146e9e,4320597
ba16235e10a911ec8871b07b25146e9e,104546206
b488109010c311ec8216b07b25146e9e,30110517
78ba373b10c911ec8216b07b25146e9e,86296377
411e30e710c511ec8216b07b25146e9e,6504338
565d57a510ca11ec8216b07b25146e9e,5765234
78913d5210ab11ec8871b07b25146e9e,52243477
3a39605610a811ec8871b07b25146e9e,5315278
f7c8967410c411ec8216b07b25146e9e,4541760
d63d74946f5711ecb369fa164011f743,12906658
511dc5ed137a11eca228fa164011f743,5043011
7f99159b10ab11ec8871b07b25146e9e,82851094
f269880010a711ec8871b07b25146e9e,14230392
a057af0310a811ec8871b07b25146e9e,25834337
05ea9b1510ab11ec8871b07b25146e9e,47238867
e14eaa7110a711ec8871b07b25146e9e,14029700
56ec4ea810ab11ec8871b07b25146e9e,46789836
e2e6e2fd10a911ec8871b07b25146e9e,77815577
d997f7a310ab11ec8871b07b25146e9e,159920634
9115c4b710c811ec8216b07b25146e9e,38049351
ba6936ff135d11eca228fa164011f743,7339382
a3529d4310aa11ec8871b07b25146e9e,64290008
6105ac1410ab11ec8871b07b25146e9e,21549788
d6d3daad8a5b11edb6a3fa164011f743,58686301
7361219b10a911ec8871b07b25146e9e,6310862
1721fb2210ac11ec8871b07b25146e9e,33899492
5362c92710a911ec8871b07b25146e9e,18514579
a8c4dabd10c811ec8216b07b25146e9e,88966632
9862925a10a911ec8871b07b25146e9e,135339202
4421d99610a911ec8871b07b25146e9e,14409440
5e8fd43ea76f11edb6a3fa164011f743,152580902
9a089e9f10ca11ec8216b07b25146e9e,14131942
9871579af09811eda4e5fa164011f743,14525894
de37030f10ab11ec8871b07b25146e9e,14429538
1ce8551856e511eeb806fa164011f743,82305616
7288148410ac11ec8871b07b25146e9e,49873338
0f2f007510a811ec8871b07b25146e9e,112288975
6250a9e110a811ec8871b07b25146e9e,52869125
c05d2c6910ab11ec8871b07b25146e9e,93197598
7ca86ae310ab11ec8871b07b25146e9e,86421664
0c9ea3e0b02011ed82a1fa164011f743,42588984
78a2012810ac11ec8871b07b25146e9e,56731499
40007ad710c711ec8216b07b25146e9e,2853473
3e59e15f10a911ec8871b07b25146e9e,81100852
237e443e10ab11ec8871b07b25146e9e,8309837
e11b952510aa11ec8871b07b25146e9e,21932265
d0806f1610a911ec8871b07b25146e9e,279018349
